,Pipeline,Score,Variance
0,Auto_svc_0.1,0.5398860398860399,0.003532318376068366
1,Auto_xgb_0.1,0.4458689458689459,0.0030315170940171015
2,Auto_pca_svc_0.1,0.4658119658119658,0.004547275641025634
3,Auto_pca_xgb_0.1,0.4301994301994302,0.006176549145299132
4,Pos_svc_0.1,0.6168091168091168,0.00535523504273503
5,Pos_xgb_0.1,0.4472934472934473,0.004734241452991456
6,Pos_pca_svc_0.1,0.51994301994302,0.001909722222222221
7,Pos_pca_xgb_0.1,0.39173789173789175,0.005134882478632471
8,Neg_svc_0.1,0.4672364672364673,0.005936164529914519
9,Neg_xgb_0.1,0.5028490028490029,0.004093215811965806
10,Neg_pca_svc_0.1,0.5,0.0
11,Neg_pca_xgb_0.1,0.4658119658119658,0.0045472756410256335
12,Clus_svc_0.1,0.698005698005698,0.006717414529914531
13,Clus_xgb_0.1,0.4444444444444444,0.0009615384615384658
14,Clus_pca_svc_0.1,0.5,0.0
15,Clus_pca_xgb_0.1,0.4287749287749288,0.004894497863247856
16,All_svc_0.1,0.5598290598290598,0.004867788461538458
17,All_xgb_0.1,0.5028490028490029,0.004093215811965805
18,All_pca_svc_0.1,0.5242165242165242,0.006557158119658141
19,All_pca_xgb_0.1,0.5014245014245015,0.002230235042735047
20,AutoPos_svc_0.1,0.5014245014245015,0.0022302350427350474
21,AutoPos_xgb_0.1,0.5014245014245015,0.0022302350427350474
22,AutoPos_pca_svc_0.1,0.5213675213675213,0.0038261217948718125
23,AutoPos_pca_xgb_0.1,0.5997150997150997,0.006677350427350425
